,AIC,BIC,Dispersion,Pseudo_R2
OLS,237336.7078795582,237572.53651450283,1.0000000000000002,
Poisson,773211.11887999,-2333285.669345011,1.5151358345293409,-1.8191634512595787
NegBin,849746.1690707452,-2507808.4829657013,0.43532790955097805,-10.6305819648285
